,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@monark Vc e Pablo maçal daria uma ótima dupla em podcast!,1536757586892099589,0,0,0,1521489434012704768,Twitter for Android,pt,2022-06-14 17:08:54+00:00,
1,"@EdileideOlive10 Nem Lula nem Bolsonaro
#chegadesse2
Agora 
É Pablo Maçal 90 para Presidente 🦁🇧🇷",1536368647525920769,0,0,2,1520800590703599616,Twitter for iPhone,pt,2022-06-13 15:23:24+00:00,
2,"Bolsonaro atinge 41,1% das intenções de voto no DF contra 32,7% de Lula. Além deles, Ciro Gomes (PDT) pontuou 6,9%; André Janones (Avante), 1,6%; Pablo Maçal (Pros), 1,6%; Simone Tebet (MDB), 1,4% https://t.co/MlUj7lCsX0",1535987026650140675,0,0,0,220398287,Twitter for Android,pt,2022-06-12 14:06:59+00:00,
