,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@monark Vc e Pablo maçal daria uma ótima dupla em podcast!,1.5367575868920996e+18,0.0,0.0,0.0,1.5214894340127048e+18,Twitter for Android,pt,2022-06-14 17:08:54+00:00,
1,"@EdileideOlive10 Nem Lula nem Bolsonaro
#chegadesse2
Agora 
É Pablo Maçal 90 para Presidente 🦁🇧🇷",1.5363686475259208e+18,0.0,0.0,2.0,1.5208005907035996e+18,Twitter for iPhone,pt,2022-06-13 15:23:24+00:00,
2,"Bolsonaro atinge 41,1% das intenções de voto no DF contra 32,7% de Lula. Além deles, Ciro Gomes (PDT) pontuou 6,9%; André Janones (Avante), 1,6%; Pablo Maçal (Pros), 1,6%; Simone Tebet (MDB), 1,4% https://t.co/MlUj7lCsX0",1.5359870266501407e+18,0.0,0.0,0.0,220398287.0,Twitter for Android,pt,2022-06-12 14:06:59+00:00,
0,"@Jogeral2 @cirogomes Que ilusão Haddad perdeu com 10 milhões de voto de Frente e vocês querem ganhar no 1° turno, é sonhar de mais nem nos melhores tempos de Lula isso aconteceu, insistência se o Ciro desiste os eleitores dele migram para outro tipo a Simone, o Pablo Maçal ou Janones, pede a eles.",1.546939147264426e+18,0.0,0.0,1.0,1.5356181064034796e+18,Twitter for Android,pt,2022-07-12 19:26:48+00:00,
1,"Anitta fala que queria uma novidade na política quem seria?? Tebet? O Pablo Maçal?? Será que ela acompanha a política do Brasil, se vc quer uma novidade vota no 1°turno, não precisa ter medo",1.546590326026109e+18,0.0,0.0,0.0,1347967969.0,Twitter for Android,pt,2022-07-11 20:20:42+00:00,
2,,,,,,,,,,
