,(corrupto OR corrupta),machista,racista,nazista,facista,(burro OR burra),comunista,socialista,anarquista,(alienado OR alienada),(analfabeto OR analfabeta),(mentiroso OR mentirosa),(desonesto OR desonesta),(safado OR safada),canalha,(ladrão OR ladra),hipócrita,genocida,(ditador OR ditadora),(autoritário OR autoritária),sexista,populista,(maconheiro OR maconheira),imbecil,(vagabundo OR vagabunda)
2022-06-10T22:04:38.000Z,35,2,2,10,2,32,15,5,0,1,3,33,4,5,7,69,7,26,13,1,0,0,1,10,44
2022-06-11T00:00:00.000Z,275,16,19,29,16,244,166,32,2,11,19,196,25,38,101,709,48,221,95,25,5,18,4,111,460
2022-06-12T00:00:00.000Z,367,11,12,28,19,287,131,36,1,19,19,210,31,52,120,648,52,280,72,21,2,25,28,123,421
2022-06-13T00:00:00.000Z,346,11,28,37,20,237,137,35,0,37,18,212,37,37,133,612,67,430,80,35,1,23,16,134,526
2022-06-14T00:00:00.000Z,301,7,26,37,13,313,134,38,4,17,20,194,25,50,113,575,62,314,67,23,3,25,9,116,356
2022-06-15T00:00:00.000Z,314,19,24,27,11,242,121,36,0,27,18,191,136,40,170,495,195,269,50,38,3,30,7,108,332
2022-06-16T00:00:00.000Z,356,19,31,102,11,226,108,36,2,35,22,239,65,53,139,586,124,470,55,16,4,20,23,147,508
2022-06-17T00:00:00.000Z,365,21,22,44,14,355,150,27,3,33,13,550,39,84,227,676,117,328,36,19,7,51,8,123,875
